# omegabh2 omegamh2 DAstar tau ns logA_s
2.981980662195613912e-08 -1.458827376298132362e-07 1.885804592741976635e-03 1.203800469227164310e-07 4.867620721973707448e-07 -8.865499758115913645e-08
-1.458827376298132362e-07 1.939180674316414227e-06 -3.878732452162001604e-02 -1.157508757132016475e-06 -5.224841652433230502e-06 2.723608657590556896e-06
1.885804592741976635e-03 -3.878732452162001604e-02 8.466431828282908327e+02 2.120578048332124460e-02 9.775308837686609575e-02 -6.166060935684526678e-02
1.203800469227164310e-07 -1.157508757132016475e-06 2.120578048332124460e-02 6.939153424345519323e-05 5.364415744831931391e-06 1.354858010177846755e-04
4.867620721973707448e-07 -5.224841652433230502e-06 9.775308837686609575e-02 5.364415744831931391e-06 2.356741253244187169e-05 -4.406276917760098224e-06
-8.865499758115913645e-08 2.723608657590556896e-06 -6.166060935684526678e-02 1.354858010177846755e-04 -4.406276917760098224e-06 3.065624543647156889e-04
