# omegabh2 omegamh2 DAstar tau ns logA_s
2.631299779991204739e+08 9.714591291844898462e+07 3.847573228318647580e+03 -1.066871396379080943e+04 1.445892893705759780e+05 -6.306683597289326826e+03
9.714591291844893992e+07 4.444127827927265316e+07 1.750915573033673581e+03 4.586703797190079058e+04 5.681879805422483478e+05 -2.667122837546755909e+04
3.847573228318662132e+03 1.750915573033680403e+03 7.156433597488998100e-02 -4.749916423624695128e+00 1.337145485863097605e+01 2.242488931013530529e+00
-1.066871396402151731e+04 4.586703797181499976e+04 -4.749916423628093298e+00 1.549204550967656542e+05 -1.827778576221824551e+04 -7.009603123275977850e+04
1.445892893705849128e+05 5.681879805422517238e+05 1.337145485863109684e+01 -1.827778576221807452e+04 1.154967864362878317e+05 7.421261642807010503e+03
-6.306683597059613930e+03 -2.667122837538339081e+04 2.242488931016865639e+00 -7.009603123275977850e+04 7.421261642807092358e+03 3.503388306088283571e+04
