# sigma_NL DA0 DA1 DA2 DA3 H0 H1 H2 H3 fs80 fs81 fs82 fs83 bs80 bs81 bs82 bs83
2.337231241209418897e+02 2.831026893899194192e+02 1.136456092848313574e+03 2.899214624686254865e+03 5.732298169308617616e+03 1.039062168685432397e+02 1.346747369165433838e+03 5.335449308945431767e+03 1.386086496503844864e+04 -2.011968552241193038e+02 -2.068372288317716993e+03 -7.485295332168415371e+03 -1.830448657785538671e+04 -1.146311195257632249e+02 -1.174860729371035177e+03 -4.245448637496549054e+03 -1.037746337620454506e+04
2.831026893899194192e+02 1.041015020021304517e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.639791660260703065e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -7.823808615523541812e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.754394346294814750e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.136456092848313574e+03 0.000000000000000000e+00 1.327110596610184875e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.252047582262661308e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.353244891624672746e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.206679981650638656e+05 0.000000000000000000e+00 0.000000000000000000e+00
2.899214624686254865e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.978344446195802302e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.412625130925380217e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -4.889445905208244803e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.571936424025376036e+05 0.000000000000000000e+00
5.732298169308617616e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.777931268687320407e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.722241403230284341e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -8.069545932691553608e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -4.435409903046049294e+05
1.039062168685432397e+02 1.639791660260703065e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.337373397063891753e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.651330593843039969e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -8.097602379664072032e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.346747369165433838e+03 0.000000000000000000e+00 9.252047582262661308e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.559908186509647057e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.420341124969616649e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -9.280944655032620358e+04 0.000000000000000000e+00 0.000000000000000000e+00
5.335449308945431767e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.412625130925380217e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.002913470835346379e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.352963954997777182e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.297238534205241012e+05 0.000000000000000000e+00
1.386086496503844864e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.722241403230284341e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.986254332311970415e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.258474780552073062e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -7.769323320514372317e+05
-2.011968552241193038e+02 -7.823808615523541812e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.651330593843039969e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.076245281892229250e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.786455736384254851e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.068372288317716993e+03 0.000000000000000000e+00 -2.353244891624672746e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.420341124969616649e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.039656750623028493e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.304194832095730526e+05 0.000000000000000000e+00 0.000000000000000000e+00
-7.485295332168415371e+03 0.000000000000000000e+00 0.000000000000000000e+00 -4.889445905208244803e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.352963954997777182e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.785329478199840989e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.045971753449451644e+05 0.000000000000000000e+00
-1.830448657785538671e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -8.069545932691553608e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.258474780552073062e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.965553905212450773e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.505859200147516327e+06
-1.146311195257632249e+02 -3.754394346294814750e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -8.097602379664072032e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.786455736384254851e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.500102154967377646e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.174860729371035177e+03 0.000000000000000000e+00 -1.206679981650638656e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -9.280944655032620358e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.304194832095730526e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.232182868531890999e+05 0.000000000000000000e+00 0.000000000000000000e+00
-4.245448637496549054e+03 0.000000000000000000e+00 0.000000000000000000e+00 -2.571936424025376036e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.297238534205241012e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.045971753449451644e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.755572596680611023e+05 0.000000000000000000e+00
-1.037746337620454506e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -4.435409903046049294e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -7.769323320514372317e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.505859200147516327e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.018981366366797592e+05
