# omegabh2 omegamh2 DAstar tau ns logA_s
2.730824172664961219e+08 9.711306601095543802e+07 3.895556641161596417e+03 -1.816147498449336272e+05 2.039451473153755942e+05 5.041856177395361738e+04
9.711306601095521450e+07 4.363176853258673847e+07 1.724891739440264928e+03 8.537902026337727875e+03 4.718572995374592138e+05 2.463736445788043056e+04
3.895556641161600965e+03 1.724891739440266065e+03 7.097994797444527604e-02 -6.490481797909747996e+00 1.030873976004838255e+01 3.839581077692842737e+00
-1.816147498449389241e+05 8.537902026337444113e+03 -6.490481797909748884e+00 1.581789038864775503e+05 -1.498242696587169667e+04 -7.187422653216097387e+04
2.039451473153744300e+05 4.718572995374600869e+05 1.030873976004841630e+01 -1.498242696587166938e+04 1.085451496583688277e+05 4.939056009748906945e+03
5.041856177398242289e+04 2.463736445789114441e+04 3.839581077693269506e+00 -7.187422653216095932e+04 4.939056009748922406e+03 3.806761004419193341e+04
