# sigma_NL DA0 DA1 H0 H1 fs80 fs81 bs80 bs81
1.451431642395218624e+01 2.831026893899194192e+02 1.136456092848313574e+03 1.039062168685432397e+02 1.346747369165433838e+03 -2.011968552241193038e+02 -2.068372288317716993e+03 -1.146311195257632249e+02 -1.174860729371035177e+03
2.831026893899194192e+02 1.041015020021304517e+05 0.000000000000000000e+00 1.639791660260703065e+04 0.000000000000000000e+00 -7.823808615523541812e+04 0.000000000000000000e+00 -3.754394346294814750e+04 0.000000000000000000e+00
1.136456092848313574e+03 0.000000000000000000e+00 1.327110596610184875e+05 0.000000000000000000e+00 9.252047582262661308e+04 0.000000000000000000e+00 -2.353244891624672746e+05 0.000000000000000000e+00 -1.206679981650638656e+05
1.039062168685432397e+02 1.639791660260703065e+04 0.000000000000000000e+00 4.337373397063891753e+04 0.000000000000000000e+00 2.651330593843039969e+04 0.000000000000000000e+00 -8.097602379664072032e+03 0.000000000000000000e+00
1.346747369165433838e+03 0.000000000000000000e+00 9.252047582262661308e+04 0.000000000000000000e+00 3.559908186509647057e+05 0.000000000000000000e+00 1.420341124969616649e+05 0.000000000000000000e+00 -9.280944655032620358e+04
-2.011968552241193038e+02 -7.823808615523541812e+04 0.000000000000000000e+00 2.651330593843039969e+04 0.000000000000000000e+00 1.076245281892229250e+05 0.000000000000000000e+00 2.786455736384254851e+04 0.000000000000000000e+00
-2.068372288317716993e+03 0.000000000000000000e+00 -2.353244891624672746e+05 0.000000000000000000e+00 1.420341124969616649e+05 0.000000000000000000e+00 9.039656750623028493e+05 0.000000000000000000e+00 2.304194832095730526e+05
-1.146311195257632249e+02 -3.754394346294814750e+04 0.000000000000000000e+00 -8.097602379664072032e+03 0.000000000000000000e+00 2.786455736384254851e+04 0.000000000000000000e+00 1.500102154967377646e+04 0.000000000000000000e+00
-1.174860729371035177e+03 0.000000000000000000e+00 -1.206679981650638656e+05 0.000000000000000000e+00 -9.280944655032620358e+04 0.000000000000000000e+00 2.304194832095730526e+05 0.000000000000000000e+00 1.232182868531890999e+05
