# omegabh2 omegamh2 DAstar tau ns logA_s
2.171638499837424368e-08 -7.069260002561730844e-08 4.916725100335440088e-04 3.000564048604913810e-07 2.383391561714240211e-07 5.030025667044855426e-07
-7.069260002561730844e-08 1.241385877258178395e-06 -2.593128600571978706e-02 -3.210563859198095271e-06 -3.073052210495504879e-06 -3.757362202647536059e-06
4.916725100335440088e-04 -2.593128600571978706e-02 6.108867423939218497e+02 5.971371907123247669e-02 5.931714184607951579e-02 5.956367183836837331e-02
3.000564048604913810e-07 -3.210563859198095271e-06 5.971371907123247669e-02 5.421540868896120149e-05 1.080875934783575532e-05 9.661760344989275731e-05
2.383391561714240211e-07 -3.073052210495504879e-06 5.931714184607951579e-02 1.080875934783575532e-05 1.735223528216346502e-05 1.384667358306877687e-05
5.030025667044855426e-07 -3.757362202647536059e-06 5.956367183836837331e-02 9.661760344989275731e-05 1.384667358306877687e-05 2.026509492116159578e-04
