# omegabh2 omegamh2 DAstar tau ns logA_s
4.642274736983437120e-08 -1.658641294104351352e-07 1.377155621978903843e-03 1.601075885446476244e-06 6.500447914791685281e-07 2.843415144764650570e-06
-1.658641294104351352e-07 3.550567948228681668e-06 -7.565722142948513862e-02 -1.381149026630768798e-05 -8.456349772363126792e-06 -1.870654280098909286e-05
1.377155621978903843e-03 -7.565722142948513862e-02 1.761289917493619669e+03 2.386203653217748299e-01 1.635113273402945822e-01 2.822815820705716905e-01
1.601075885446476244e-06 -1.381149026630768798e-05 2.386203653217748299e-01 3.573619554344800091e-04 5.231500295761270060e-05 6.738671725706374448e-04
6.500447914791685281e-07 -8.456349772363126792e-06 1.635113273402945822e-01 5.231500295761270060e-05 3.307982711956980866e-05 8.146281292900049654e-05
2.843415144764650570e-06 -1.870654280098909286e-05 2.822815820705716905e-01 6.738671725706374448e-04 8.146281292900049654e-05 1.316380918271714334e-03
